Timestamp,rpm,pressure_mb,temp_c,humidity_pct
2026-02-15 11:28:32,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:33,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:34,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:35,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:36,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:37,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:38,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:39,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:40,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:41,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:42,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:43,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:44,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:45,10.0,1006.0,23.5,48.1,30.0
2026-02-15 11:28:46,10.0,1006.0,23.5,48.1,30.0
2026-02-15 11:28:47,10.0,1006.0,23.5,48.1,30.0
2026-02-15 11:28:48,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:28:49,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:28:50,10.0,1005.8,23.5,48.1,40.0
2026-02-15 11:28:51,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:28:52,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:28:53,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:28:54,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:28:55,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:28:56,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:28:57,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:28:58,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:28:59,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:00,10.0,1005.8,23.5,48.1,40.0
2026-02-15 11:29:01,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:02,10.0,1006.3,23.5,48.1,40.0
2026-02-15 11:29:03,10.0,1006.3,23.5,48.1,40.0
2026-02-15 11:29:04,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:05,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:06,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:07,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:08,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:09,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:10,10.0,1006.0,23.5,48.1,40.0
2026-02-15 11:29:11,10.0,1006.3,23.5,48.1,40.0
2026-02-15 11:29:12,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:13,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:14,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:15,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:16,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:17,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:18,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:19,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:20,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:21,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:22,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:23,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:24,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:25,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:26,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:27,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:28,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:29,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:30,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:31,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:32,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:33,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:34,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:35,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:36,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:37,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:38,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:39,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:40,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:41,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:42,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:43,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:44,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:45,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:46,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:47,10.0,1005.8,23.5,48.2,40.0
2026-02-15 11:29:48,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:49,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:50,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:51,20.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:52,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:53,50.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:54,10.0,1006.5,23.5,48.2,40.0
2026-02-15 11:29:55,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:56,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:57,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:29:58,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:29:59,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:00,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:01,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:02,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:03,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:04,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:05,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:06,10.0,1006.3,23.5,48.2,40.0
2026-02-15 11:30:07,10.0,1006.0,23.5,48.2,40.0
2026-02-15 11:30:08,10.0,1006.3,23.5,48.2,40.0
